

Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.390
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN
FNM6.25         | 8939|FUSE FNM 6.25 AMP                                               |FNM6.25         |   $3.58|EACH    |   0
0034.1754       | 8983|FUSE FSF3 6.3A 250V                                             |FSF3 6.3A       |   $1.00|EACH    |   0
GDA-5A          | 9206|FUSE GDA 5A 250V 5MMX20MM CERAMIC                               |GDA5A           |   $1.20|EACH    |   0
0001.1012       |11494|FUSE GDA 6.3A 250V FAST-ACTING 5MM X 20MM CERAMIC               |6.3A CERAMIC    |   $0.58|EACH    |   5
GDA630MA        | 3174|FUSE GDA 630MA 5X20MM CERAMIC                                   |GDA630MA        |   $0.67|EACH    |   1
218.160         | 9583|FUSE GDC SLO-BLO 160MA 5MM X 20MM                               |GDC160MA        |   $1.75|EACH    |  10
GDC-5A          |10223|FUSE GDC SLO-BLO 5MM X 20MM 5A                                  |GDC5A           |   $0.75|EACH    |   3
GMA.063A        | 8226|FUSE GMA .063A 5MM X 20MM                                       |GMA.063A        |   $3.50|EACH    |   3
GMA-100MA       |15205|FUSE GMA .100A 100MA 5MM X 20MM                                 |GMA-100MA       |   $0.95|EACH    |  12
GMA-125MA       | 8236|FUSE GMA .125A 5MM X 20MM                                       |GMA.125         |   $0.95|EACH    |   1
GMA-200MA       |10355|FUSE GMA .200A 5MM X 20MM FAST ACTING 250V                      |GMA.200A        |   $0.75|EACH    |  24
GMA-250MA       | 8237|FUSE GMA .250A 5MM X 20MM                                       |GMA.250         |   $0.95|EACH    |   4
0034.1512       | 3146|FUSE GMA .4A 5MM X 20MM MINATURE                                |FSF.4A          |   $0.95|EACH    |   4
GMA-500-R       | 3147|FUSE GMA .5A 5MM X 20MM MINATURE                                |GMA500MA        |   $0.50|EACH    |  21
GMA.4           | 8225|FUSE GMA .8A 5MM X 20MM MINATURE                                |GMA.8MA         |   $0.50|EACH    |   0
GMA 1.5A        | 3150|FUSE GMA 1.5A 5MM X 20MM MINATURE                               |GMA1.5A         |   $0.24|EACH    |  13
GMA1A           | 3149|FUSE GMA 1A 5MM X 20MM MINATURE                                 |GMA1A           |   $0.50|EACH    |  10
GMA 2.5A        | 3152|FUSE GMA 2.5A 5MM X 20MM MINITURE                               |GMA2.5A         |   $0.40|EACH    |   3
GMA-2-R         | 3151|FUSE GMA 2A 5MM X 20MM MINATURE                                 |GMA2A           |   $0.30|EACH    |  12
0034.1521       | 3154|FUSE GMA 3.15A 5MM X 20MM MINATURE                              |GMA3.15         |   $0.36|EACH    |  28
GMA 3.5         | 3155|FUSE GMA 3.5A 5MM X 20MM MINATURE                               |GMA3.5A         |   $0.40|EACH    |   8
GMA-3-R         | 3153|FUSE GMA 3A 5MM X 20MM MINATURE                                 |GMA3A           |   $0.50|EACH    |  14
GMA 4           | 3156|FUSE GMA 4A 5MM X 20MM MINATURE                                 |GMA4A           |   $0.35|EACH    |   7
?               | 3162|FUSE GMA 5MM X 20MM 1/250A (4MA)                                |GMA1/250        |   $3.95|EACH    |   4
GMA-6           |10669|FUSE GMA 6A 5MM X 20MM MINATURE                                 |GMA6            |   $0.27|EACH    |   2
GMA-8           |10670|FUSE GMA 8A 5MM X 20MM MINATURE                                 |GMA8            |   $0.40|EACH    |   9
GMC-1.5         |13427|FUSE GMC SLO-BLO 5MM X 20MM 1.5A                                |GMC1.5A         |   $1.00|EACH    |   4
GMC-1-6-R       |10336|FUSE GMC SLO-BLO 5MM X 20MM 1.6A                                |GMC1.6A         |   $0.85|EACH    |   4
GMC-10-R        |10649|FUSE GMC SLO-BLO 5MM X 20MM 10A                                 |GMC10           |   $0.75|EACH    |   6
0001.2516       |11015|FUSE GMC SLO-BLO 5MM X 20MM 16A CERAMIC                         |16A-SB-5X20MM   |   $0.70|EACH    |   3
GMC-3A          |11384|FUSE GMC SLO-BLO 5MM X 20MM 3A                                  |GMC3            |   $0.85|EACH    |   4
GMC 6A          | 9021|FUSE GMC SLO-BLO 5MM X 20MM 6A                                  |GMC6A           |   $0.80|EACH    |  10
GMD-3A          |13078|FUSE GMD SLO-BLO TIME DELAY 5MM X 20MM 3A                       |GMD3            |   $0.95|EACH    |   1
20A 90-250V     | 7972|FUSE HOLDER 20A 90-250V W/LAMP AMBER                            |FUSEHOLDER      |   $1.50|EACH    |  42
20A 90-250V     | 7853|FUSE HOLDER 20A 90-250V W/LAMP CLEAR                            |FUSEHOLDER      |   $1.50|EACH    |  34
354812-GY       |11357|FUSE HOLDER 3AG OMNI-BLOCK BREAKAWAY POLES 1=1 POLE 20A         |FHOB            |   $1.50|EACH    |   7
3523            | 3189|FUSE HOLDER 3AG SURFACE MOUNT SINGLE 15A                        |FHSM2           |   $2.14|EACH    |  19
HTB-22M         | 8153|FUSE HOLDER 5MM X 20MM PANEL MOUNT                              |HTB-22M         |   $3.95|EACH    |   8
01020071Z       | 3190|FUSE HOLDER CLIP 1/4"-FUSES SINGLE END PC BOARD                 |1/4"-FUSE-CLIP  |   $0.28|EACH    |  68
01110501Z       |13426|FUSE HOLDER CLIP 5MM-FUSES SINGLE END PC BOARD                  |FUSE-CLIP-5MM   |   $0.13|EACH    |  76
???             | 7829|FUSE HOLDER FOR AMP INPUT ON FLUKE METER                        |FUSEHOLDER      |   $2.50|EACH    |   3
HMJ             | 3179|FUSE HOLDER IN-LINE 3AG 14AWG 20A 32V                           |HMJ             |   $4.50|EACH    |   3
?               |14730|FUSE HOLDER IN-LINE 3AG 16AWG 10A 500V                          |FH-INLINE       |   $2.00|EACH    |   5
?               |11060|FUSE HOLDER IN-LINE 3AG 22AWG 5A                                |I-LFH           |   $1.25|EACH    |   9
441-R364-GR     |15628|FUSE HOLDER IN-LINE 3AG BAYONET KNOB 5"-16AWG LEADS 10A         |FH-INLINE-10A   |   $2.50|EACH    |  62
5061-1163       | 5315|FUSE HOLDER JACK ASSYEMBLY RED CAP HP                           |5061-1163       |   $6.85|EACH    |   2
HKR             | 3177|FUSE HOLDER LIGHTED AMBER 22-33V                                |FUHD1           |  $14.80|EACH    |   2
HKC             | 3178|FUSE HOLDER LIGHTED CLEAR 90-250V                               |FUHD2           |   $1.00|EACH    |   0
???             | 3139|FUSE HOLDER MICRO SUBMINIATURE TOP HAT                          |FUSEHOLDER      |   $1.00|EACH    |  22
HTB-44I         | 3191|FUSE HOLDER PANEL MOUNT FOR 3AG 1/4"X1-1/4" FUSES 20A 250V      |HTB-44I         |   $3.50|EACH    |  14
102078          | 3192|FUSE HOLDER SINGLE END PC BOARD W/OUT STOPS                     |042             |   $0.30|EACH    |   5
5040-8068       | 5316|FUSE HOLDER SPRING HP                                           |5040-8068       |   $2.00|EACH    |   2
BBS-1           | 3165|FUSE INSTRUMENT BBS 1A                                          |BBS1A           |   $6.95|EACH    |   1
BBS-3           | 3160|FUSE INSTRUMENT BBS 3A                                          |BBS3A           |   $6.95|EACH    |   1
DMM-44/100      |15182|FUSE INSTRUMENT/METER FLUKE-203411/440MA 1000VAC 44/100A        |DMM-44/100      |   $9.95|EACH    |   5


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:01.719
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

FUSE-15A/600BLST| 3167|FUSE KTK 15A 600V 13/32X 1 1/2 FLUKE MULTI-METER                |KTK15           |  $12.95|EACH    |   2
MDA-10          | 3123|FUSE MDA 10A CERAMIC                                            |10A             |   $1.30|EACH    |   9
MDL1            | 3107|FUSE MDL 1.0A 250V                                              |MDL 1.0         |   $0.64|EACH    |  12
MDL-1 1/2       | 3108|FUSE MDL 1.5A 250V                                              |MDL 1.5         |   $0.57|EACH    |  10
MDL-1 6/10      | 3109|FUSE MDL 1.6A 125V                                              |MDL 1.6         |   $0.54|EACH    |   8
                | 3100|FUSE MDL 1/16A 250V                                             |MDL 1/16        |   $2.37|EACH    |   6
                | 3099|FUSE MDL 1/32A 250V                                             |MDL 1/32        |   $2.02|EACH    |   9
MDL1/8          | 3101|FUSE MDL 1/8A 250V 1/4" X 1 1/4"                                |MDL 1/8         |   $2.50|EACH    |   3
MDL-2           | 3110|FUSE MDL 2.0A 250V                                              |MDL 2.0         |   $0.66|EACH    |   8
MDL-2 1/2       | 3111|FUSE MDL 2.5A 250V                                              |MDL 2.5         |   $0.63|EACH    |  12
                | 3118|FUSE MDL 20.0A 32V                                              |MDL 20.0        |   $1.12|EACH    |  10
                | 3119|FUSE MDL 25.0A 32V                                              |MDL 25.0        |   $0.96|EACH    |   3
                | 3105|FUSE MDL 3/4A 250V                                              |MDL 3/4         |   $0.95|EACH    |  13
MDL3/8          | 3103|FUSE MDL 3/8A 250V                                              |MDL 3/8         |   $1.20|EACH    |  14
                | 3120|FUSE MDL 30.0A 32V                                              |MDL 30.0        |   $1.12|EACH    |  10
MDL-3           | 3112|FUSE MDL 3A 250V                                                |MDL 3           |   $0.90|EACH    |   9
                | 3113|FUSE MDL 4.0A 250V                                              |MDL 4.0         |   $0.42|EACH    |  21
MDL-5           | 3114|FUSE MDL 5.0A 125V                                              |MDL 5.0         |   $0.50|EACH    |   7
MDL-6           | 3115|FUSE MDL 6.0A 250V                                              |MDL 6.0         |   $0.45|EACH    |  15
MDL-8           | 3116|FUSE MDL 8.0A 250V                                              |MDL 8.0         |   $0.65|EACH    |  11
                | 3106|FUSE MDL 8/10A 250V                                             |MDL 8/10        |   $1.40|EACH    |   1
313.100         |11340|FUSE MDL SLO-BLO 1/10A (100MA) 250V                             |MDL 1/10        |   $1.29|EACH    |   8
BK-MDL-1-2-R    | 3104|FUSE MDL TIME DELAY 3AG .5A 1/2A 250V                           |MDL 1/2         |   $0.95|EACH    |  10
MDL-15          |10174|FUSE MDL TIME-DELAY 1/4" X 1 1/4" 15A 32V                       |MDL15           |   $0.84|EACH    |   8
                | 3159|FUSE MDM 9/32" X 1-1/4" 10A                                     |MDM10A          |   $0.51|EACH    |   6
???             | 8232|FUSE MDM 9/32" X 1-1/4" 5A                                      |MDM5A           |   $0.50|EACH    |   4
                | 3166|FUSE MDV 3AG .5A 250V WITH PIGTAILS                             |MDV1/2          |   $0.30|EACH    |   4
???             | 3145|FUSE MICRO FAST ACTING SUBMINIATURE TOP HAT 1/20 AMP            |1/20A125V       |   $1.73|EACH    |  90
                | 3143|FUSE MICRO FAST ACTING SUBMINIATURE TOP HAT 1/2A                |1/2A125V        |   $1.73|EACH    |   2
GMW1/32         | 3140|FUSE MICRO FAST ACTING SUBMINIATURE TOP HAT 1/32A               |1/32A125V       |   $1.30|EACH    |   3
                | 3142|FUSE MICRO FAST ACTING SUBMINIATURE TOP HAT 1/8A                |1/8A125V        |   $1.30|EACH    |   4
                | 3144|FUSE MICRO FAST ACTING SUBMINIATURE TOP HAT 3A                  |3A125V          |   $1.73|EACH    |   5
GMW3            | 3141|FUSE MICRO FAST ACTING SUBMINIATURE TOP HAT 3A                  |3A125V          |   $1.30|EACH    |   9
                | 3163|FUSE MISC 3AG .031A 250V 312 SERIES                             |3AG.031A        |   $2.76|EACH    |   0
025101.5MXL     | 3134|FUSE PICO 1.5A 125V                                             |PICO 1.5        |   $0.75|EACH    |   7
0251.250MXL     | 3131|FUSE PICO 1/4A 125V                                             |PICO 1/4        |   $1.00|EACH    |   2
0251004.MXL     | 3138|FUSE PICO 15.0A 32V                                             |PICO 15.0       |   $0.80|EACH    |  12
0251001.MXL     | 3133|FUSE PICO 1A 125V                                               |PICO 1          |   $0.80|EACH    |  14
251002          | 3135|FUSE PICO 2.0A 125V                                             |PICO 2.0        |   $0.75|EACH    |   3
0251003.MXL     | 3136|FUSE PICO 3.0A 125V                                             |PICO 3.0        |   $0.50|EACH    |   7
0251004.MXL     | 3137|FUSE PICO 4.0A 125V                                             |PICO 4.0        |   $0.80|EACH    |  10
0251010.MXL     |14021|FUSE PICO II 10A 125V                                           |PICO-10A        |   $0.60|EACH    |  10
0251005.MXL     |14019|FUSE PICO II 5.0A 125V                                          |PICO-5A         |   $0.60|EACH    |   7
0251007.MXL     |14020|FUSE PICO II 7.0A 125V                                          |PICO-7A         |   $0.60|EACH    |  10
0251.500MXL     | 3132|FUSE PICO II AXIAL VERY FAST ACTING 1/2A (.50A) 125V            |PICO 1/2        |   $0.80|EACH    |   9
PFRA.020        |10164|FUSE RESETTABLE POLYMERIC .20A HOLD .40A TRIP 60V               |RESFUSE.20      |   $0.50|EACH    |  13
PFRA.025        |10165|FUSE RESETTABLE POLYMERIC .25A HOLD .50A TRIP 60V               |RESFUSE.25      |   $0.58|EACH    |  21
PFRA.030        |10166|FUSE RESETTABLE POLYMERIC .30A HOLD .60A TRIP 60V               |RESFUSE.30      |   $0.49|EACH    |  18
PFRA.040        |10167|FUSE RESETTABLE POLYMERIC .40A HOLD .80A TRIP 60V               |RESFUSE.40      |   $0.52|EACH    |   9
LVR100S-240     |15304|FUSE RESETTABLE POLYMSWITCH 1A-HOLD 2A-TRIP 240V 24.4X5.1X18.7MM|RES-FUSE-1A     |   $1.50|EACH    |  18
                | 3161|FUSE SFE 1/4" X 1-1/8" 14A                                      |SFE14A          |   $0.70|EACH    |   3
                | 3169|FUSE SFE 1/4" X 7/8" 9A                                         |SFE 9           |   $0.22|EACH    |   1
???             | 9427|FUSE SLO-BLO 5MM X 20MM 400MA                                   |FUSE 400MIL     |   $0.60|EACH    |   1
GMC-1-R         |13126|FUSE SLO-BLO MEDIUM TIME DELAY 5MM X 20MM 1A GMC-1              |GMC1            |   $0.90|EACH    |   2
GMC-500-R       |14135|FUSE SLO-BLO MEDIUM TIME DELAY 5MM X 20MM 500MA GMC-500         |GMC-500MA       |   $0.75|EACH    |   9
0313.500MXP     |13762|FUSE SLOW-BLOW TIME DELAY 250V .5A                              |FUSE-SLOBLO.5A  |   $1.42|EACH    |   0
37002500410     |14140|FUSE SUB-MINIATURE TOP HAT 8X8.5MM 5.08MM-SPACING TR5 250V 250MA|250MA250V-TR5   |   $1.00|EACH    |   9
?               |12036|FUSE TAP 1/4" QUICK DISCONNECT FOR ATC/ATO AUTOMOTIVE FUSE PKG/1|FUSETAP-ATC     |   $2.03|EACH    |   0
?               |12035|FUSE TAP 1/4" QUICK DISCONNECT FOR ATO AUTOMOTIVE FUSES PKG/10  |FUSETAP-ATO     |   $1.13|EACH    |   0


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:01.735
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

SWTC-212-3535   |13944|FUSE THERMAL CUTOFF 125/250VAC 10A 75C                          |CUTOFF-75C      |   $2.43|EACH    |   2
                | 3204|FUSE THERMAL CUTOUT 104 DEG.C.                                  |104             |   $1.26|EACH    |   2
                | 3205|FUSE THERMAL CUTOUT 109 DEG.C. 15A                              |109             |   $1.60|EACH    |   5
TCF117          | 3206|FUSE THERMAL CUTOUT 117 DEG.C.                                  |117             |   $1.20|EACH    |   2
                | 3207|FUSE THERMAL CUTOUT 121 DEG.C.                                  |121             |   $1.26|EACH    |   2
                | 3208|FUSE THERMAL CUTOUT 128 DEG.C.                                  |128             |   $1.26|EACH    |   3
                | 3209|FUSE THERMAL CUTOUT 141 DEG.C.                                  |141             |   $1.26|EACH    |   0
SDF DF152S      | 3210|FUSE THERMAL CUTOUT 152 DEG.C. 10A AXIAL                        |152             |   $2.00|EACH    |   1
                | 3211|FUSE THERMAL CUTOUT 171 DEG.C.                                  |171             |   $1.00|EACH    |   0
                | 3213|FUSE THERMAL CUTOUT 216 DEG.C.                                  |216             |   $1.44|EACH    |   0
                | 3214|FUSE THERMAL CUTOUT 228 DEG.C.                                  |228             |   $1.26|EACH    |   0
                | 3215|FUSE THERMAL CUTOUT 240 DEG.C.                                  |240             |   $1.26|EACH    |   0
ERS 8076        | 3196|FUSE THERMAL CUTOUT 77 DEG.C.                                   |77              |   $2.41|EACH    |   2
                | 3199|FUSE THERMAL CUTOUT 91 DEG.C.                                   |91              |   $1.44|EACH    |   1
TCF98           | 3201|FUSE THERMAL CUTOUT 98 DEG.C.                                   |96              |   $1.00|EACH    |   2
0313010.MX250P  | 3117|FUSE TIME DELAY SLOW BLOW 3AG 10A 250V                          |FUSE-10A-DELAY  |   $1.25|EACH    |  10
MDA-12A         | 3124|FUSE TIME LAG SLOW BLOW MDA 12A 250VAC CERAMIC                  |12A             |   $1.50|EACH    |   5
MDL-1-4-R       | 3102|FUSE TIME LAG SLOW BLOW MDL 1/4A 250VAC                         |MDL 1/4         |   $1.00|EACH    |   2
331-8436        |15656|FUSER 110V 100000-PAGE FOR DELL C3760DN/N/C3765DN MMD8H YP72P   |DELL-FUSERC376  |   $0.00|EACH    |   1
CE246A          |14050|FUSER ASSEMBLY 110V FOR LASERJET CP4025                         |CE246A          | $286.57|EACH    |   0
330-5840 (N856N)|15143|FUSER ASSEMBLY FOR DELL C5765DN/5130CDN 110V N856N 330-5840     |FUSER-DELL5765  | $156.74|EACH    |   0
RM1-2665-000    |12922|FUSER ASSEMBLY HP COLOR LJ 3600/3800                            |FUSER3800       | $139.99|EACH    |   0
RG5-2661-R      |12109|FUSER ASSEMBLY HP LJ 4000/4050 SERIES REFURBISHED               |FUSER4000       | $124.26|EACH    |   0
RM1-0013        |12979|FUSER ASSEMBLY HP LJ 4200 SERIES RM1-0013                       |FUSER4200       | $183.70|EACH    |   0
RG5-6532        |11553|FUSER ASSEMBLY HP LJ 8100/8150 SERIES MOPIER 320                |RG5-6532        | $127.02|EACH    |   0
Q3655A          |12486|FUSER ASSEMBLY HP LJ SERIES 3500/3700 Q3655A                    |Q3655A          |  $78.80|EACH    |   0
CE246A          |14908|FUSER KIT 110V FOR HP CP4025/4525/4540 COLOR LASERJET CE246A    |CE246A          | $177.98|EACH    |   0
1752025         |11819|GEAR 'B' CUTTER NYLON FOR GBC 3260X SHREDDER                    |1752025         |  $12.53|EACH    |   1
?               |13097|GEAR BAG MISC. PLASTIC 20/BAG                                   |BAG-OF-GEARS    |   $8.95|EACH    |   6
RS5-0237-000    |11536|GEAR FIXING 17T/32T EX PRINTER                                  |RS5-0237        |   $4.00|EACH    |   1
RS1-0287        | 9098|GEAR FIXING DRUM DOUBLE PERSONAL LASERWRITER NT                 |0287            |   $5.25|EACH    |   1
F303014020-EPS  | 5312|GEAR RIBBON PRINTER HP                                          |GRP             |   $2.35|EACH    |   1
A 1M 2-Y48024   |11591|GEAR SPUR 48-PITCH 24 TEETH 20DEG (FOR EE PENDULUM)             |GEAR24          |   $4.00|EACH    |  10
H229031         | 9884|GEAR SYNCRON NYLON SHREDDER MOD 220CC                           |H229031         |  $26.39|EACH    |   2
1LPP4           |14583|GEARMOTOR PARALLEL-SHAFT 30RPM 400IN-LBS 115VAC 3.9A 1/4HP      |MOTOR AC 30RPM  | $387.94|EACH    |   0
4040            | 8994|GENERATOR FUNCTION 20MHZ AM/FM                                  |4040            | $432.11|EACH    |   0
HPG1            |14227|GENERATOR FUNCTION POCKET HAND-HELD W/SWEEP 1MHZ SINE/SQ/TRIANGL|POCKET-FUN-GEN  | $129.95|EACH    |   1
4010A           |14037|GENERATOR FUNCTION VARIABLE DUTY CYCLE & DC OFFSET 2MHZ         |4010A           | $258.81|EACH    |   0
33210A          |16097|GENERATOR FUNCTION/ARBITARY WAVEFORM 10MHZ KEYSIGHT 33210A      |33210A          |$1199.91|EACH    |   0
33120A          |11566|GENERATOR FUNCTION/ARBITARY WAVEFORM AGILENT 33120A             |33120A          |$1091.63|EACH    |   0
N9340B-TG3      |13563|GENERATOR TRACKING 3GHZ ADD-ON TO AGILENT N9340B SPECTRUM ANALYZ|N9340B-TG3      |$2013.48|EACH    |   0
55981C          |12864|GEOMETRY SET (6" RULER, 4" PROTRACTOR, 45D & 60F TRI. .5MM PENCI|GEOSET          |   $8.95|EACH    |   0
?               |13038|GLASS SHEET 1/8" 16" X 20"                                      |GLASS16X20      |   $8.96|EACH    |   0
11329-00000-20  |10432|GLASSES SAFETY WRAP-AROUND POLYCARBONATE ANTI-FOG CLEAR LENS/FRA|SAFETYEYEGLASS  |   $2.95|EACH    | 101
BT-300          |15699|GLASSES SMART OLED HD BINOCULAR DISPLAY 1280X720 5MP CAMERA ANDR|SMART-GLASSES   |   $0.00|EACH    |   0
LFN7AJ          |13255|GLOVE LINT FREE NYLON STRING KNIT GLOVE XL                      |GLOVE-LINTFREE  |   $1.62|EACH    |   0
?               |11463|GLOVE NEOPRENE 22 MIL THICK 12-1/2"L SIZE10                     |GLOVE-NEO10     |   $3.92|EACH    |   6
?               |11464|GLOVE NEOPRENE 22 MIL THICK 12-1/2"L SIZE11                     |GLOVE-NEO11     |   $3.92|EACH    |   0
?               |11462|GLOVE NEOPRENE 22 MIL THICK 12-1/2"L SIZE9                      |GLOVE-NEO9      |   $3.92|EACH    |   0
?               |12642|GLOVE VINYL DISPOSABLE PRE-POWDERED LARGE 100PC 50PAIR          |GLOVE-VINYL     |   $8.47|EACH    |   0
3BA40           |12626|GLOVE VINYL REUSABLE/DISPOSABLE LIGHTLY POWDERED 4MIL LARGE 100/|GLOVE-VINYL-LG  |   $9.95|PKG     |   2
?               |13899|GLOVE VINYL REUSABLE/DISPOSABLE LIGHTLY POWDERED 5MIL LARGE SOLD|GLOVE-VINYL-LG  |   $0.10|EACH    |  88
550150          | 7124|GLOVES LATEX UNISIZE SIZES 6-9                             (OS) |550150          |   $0.13|EACH    |   0
OEG-100         | 7125|GLOVES PLASTIC EMBOSSED MEDIUM                             (OS) |OEG-100         |   $0.10|EACH    |   0
LN-903          | 7105|GLUE ADHESIVE CONSTRUCTION ALL PURPOSE 10OZ TUBE TAN            |CNSTR-ADHESIVE  |   $4.95|EACH    |   1
5252            |14663|GLUE ADHESIVE CONSTRUCTION LATEX 28OZ OFF-WHITE POWER GRAB      |CNSTR-ADH-      |  $12.95|EACH    |   2
828443          |14069|GLUE ADHESIVE CONSTRUCTION SUBFLOOR & DECK 10.2OZ TUBE PL400    |PL400           |   $6.99|EACH    |   0
                | 7104|GLUE ADHESIVE HOT MELT STICKS                       (OS) CHEMICA|GLUE HOT MELT   |   $0.14|EACH    |   0
????            | 7103|GLUE ADHESIVE HOT MELT STICKS                       (OS) CHEMICA|GLUE HOT MELT   |   $0.14|EACH    |   0


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:01.753
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

14600           | 9547|GLUE COLD WELD COMPOUND 2 OZ LOCTITE                (OS) CHEMICA|14600           |   $4.75|EACH    |   0
0401130G        |10923|GLUE CONTACT ADHESIVE AND SEALANT 1OZ TUBE                      |GLCC1OZ         |   $5.03|EACH    |   0
?               |11053|GLUE CONTACT CEMENT WATER BASE 1QT                              |CC-1QT          |  $10.49|EACH    |   0
E340            |16060|GLUE ELMERS SCHOOL WASHABLE 1-GALLON                            |ELMERS-1GAL     |  $15.39|EACH    |   0
QM-50           | 7099|GLUE EPOXY ADHESIVE QUICK SET 1 FL. OZ.                    (OS) |QM-50           |   $3.88|EACH    |   0
5000408         |12894|GLUE GORILLA WATERPROOF MULTI-PURPOSE 4OZ                       |GORILLA GLUE    |   $9.95|EACH    |   1
GM-160          |11666|GLUE GUN MINI 10W HIGH TEMP 350F FOR 5/16"/.27"/.28" GLUE STICKS|GLUE-GUN-MINI   |   $5.95|EACH    |   5
HE-750          |14736|GLUE GUN PROFESSIONAL HIGH TEMP 2 HEATER USES STANDARD .44" STIC|GLUE-GUN-80W    |  $29.95|EACH    |   4
TR400           |14334|GLUE GUN TRIGGER FEED 40-WATT USES 1/2" GLUE STICKS             |GLUE-GUN-1/2"   |  $25.10|EACH    |   0
KG58548R        | 7259|GLUE INSTANT KRAZY ALL-PURPOSE .07OZ 2G                 (OS) CHE|KRAZY-GLUE      |   $2.50|EACH    |   6
E1322NR         | 9647|GLUE MULTI-PURPOSE GLUE-ALL 4OZ                  (OS) CHEMICAL  |GLUE-ELMERS4OZ  |   $3.95|EACH    |   3
8265-S          | 7100|GLUE STEEL REINFORCED EPOXY COLD WELD TWO-PART MULTI-PURPOSE 2OZ|JB-WELD         |   $6.95|EACH    |   2
?               | 7101|GLUE STICK .68 OZ WHITE                             (OS) CHEMICA|GLST1           |   $2.95|EACH    |   0
AP10-4          |14335|GLUE STICK CLEAR 1/2" DIAMETER X 10" LENGTH 12/PACK             |GLUE-STICK-1/2  |  $12.95|EACH    |   0
925R10-1-HP     |11670|GLUE STICK HOT MELT FULL SIZE 7/16"-DIA. 10"-LONG 18/PKG        |GLUESTICK-10"   |  $16.95|PKG     |   2
23X751          |11669|GLUE STICK MINI 5/16" .28" DIA 4" LONG 24/PKG                   |GLUE-STICK-MIN  |   $3.95|PKG     |   5
00166           |14048|GLUE STICK PERMANENT .26OZ                                      |GLUESTICK.26OZ  |   $1.00|EACH    |   4
8333-3G         |12292|GLUE SUPER CYANOACRYLATE ADHESIVE 3-GRAM            (OS) CHEMICA|8333-3G         |   $3.00|EACH    |  10
ULTIMATE GLUE   |11720|GLUE ULTIMATE PROBOND POLYURETHANE 2 FL. OZ.        (OS) CHEMICA|ULTIMATEGLUE    |   $4.19|EACH    |   0
TITEBOND II     |11719|GLUE WOOD PREMIUM TITEBOND II 8 FL. OZ.             (OS) CHEMICA|TITEBONDII      |   $3.60|EACH    |   0
?               |15089|GOGGLES SAFETY CHEMICAL SPLASH GOGGLES CLEAR LENS ANSI Z87.1-200|GOGGLES-CHEM    |   $4.00|EACH    |   6
1VT67           |13258|GOGGLES SAFETY PROTECTIVE IMPACT LENS CLEAR                     |GOGGLE-SAEFTY   |   $3.00|EACH    |   7
???             | 1604|GRAB BAG 23 GALLON 14.75,12.75X39 0.8 TO 1.2 MIL                |GRBM            |   $0.18|EACH    |   0
00209           |12100|GROMMET DESK "CORD AWAY" 2-3/8" FLEXIBLE                        |GROMMET-DSK-FL  |   $4.95|EACH    |   5
00202           |14831|GROMMET DESK 2-3/8" ADJUSTABLE 5/8"-1-1/4" OPENING              |GROMMET-DSK-AD  |   $4.95|EACH    |   4
2009            | 6795|GROUND CLAMP                                                    |2009            |   $0.30|EACH    |   9
24575-801       |13726|GROUNDING EARTHING KIT FOR SCHROFF RATIOPAC CASE 4U 84HP        |24575-801       |  $10.26|EACH    |   7
0097-0310-02    | 7814|GROUNDING SPRING CLIP CRT                                       |0097-0310-02    |   $2.00|EACH    |   1
?               |13737|GUARD POWER INLET FOR NTAS                                      |GUARD-PWRINLET  |  $12.57|EACH    |   0
24571350        |14246|HANDLES FOR 19" RACK MOUNT SCHROFF 4U ENCLOSURE 1-PAIR          |HANDLE-4U       |  $52.98|PAIR    |   2
24571-350       |14203|HANDLES FRONT FOR 19" MOUNTING BRACK ON SCHROFF ENCLOSURE DIE-CA|24571-350       |  $51.93|EACH    |   0
?               |15179|HANDWHEEL FOR NEMA-23 STEPPER MOTOR 6.35MM 1/4" SHAFT           |HANDWHEEL-1/4"  |  $14.95|EACH    |   4
?               |14514|HANGER CLOTHES LIGHT-WEIGHT ECONOMY 60/PK WHITE                 |HANGERS-SHIRTS  |  $29.95|EACH    |   0
80674           |16102|HANGER CUBICLE PARTITION WALL 0.5"X1.25-3.5"X7" BLACK 2/PK      |PARTITION-HANG  |   $9.95|PKG     |   1
